country,product,date,gross_production_value
Algeria,Locust beans (carobs),2016,261
Algeria,Locust beans (carobs),2017,323
Algeria,Locust beans (carobs),2018,230
Algeria,Maize (corn),2015,761
Algeria,Maize (corn),2016,1005
Algeria,Maize (corn),2017,718
Algeria,Maize (corn),2018,1502
Algeria,"Meat of camels, fresh or chilled (indigenous)",2015,77677
Algeria,"Meat of camels, fresh or chilled (indigenous)",2016,82502
Algeria,"Meat of camels, fresh or chilled (indigenous)",2017,89543
Algeria,"Meat of camels, fresh or chilled (indigenous)",2018,87139
Algeria,"Meat of cattle with the bone, fresh or chilled (indigenous)",2015,1145298
Algeria,"Meat of cattle with the bone, fresh or chilled (indigenous)",2016,1165381
Algeria,"Meat of cattle with the bone, fresh or chilled (indigenous)",2017,1154331
Algeria,"Meat of cattle with the bone, fresh or chilled (indigenous)",2018,1120128
Algeria,"Meat of chickens, fresh or chilled (indigenous)",2015,857717
Algeria,"Meat of chickens, fresh or chilled (indigenous)",2016,927327
Algeria,"Meat of chickens, fresh or chilled (indigenous)",2017,979733
Algeria,"Meat of chickens, fresh or chilled (indigenous)",2018,999876
Algeria,"Meat of goat, fresh or chilled (indigenous)",2015,283756
Algeria,"Meat of goat, fresh or chilled (indigenous)",2016,285304
Algeria,"Meat of goat, fresh or chilled (indigenous)",2017,325975
Algeria,"Meat of goat, fresh or chilled (indigenous)",2018,315544
Algeria,"Meat of pig with the bone, fresh or chilled (indigenous)",2015,128
Algeria,"Meat of pig with the bone, fresh or chilled (indigenous)",2016,129
Algeria,"Meat of pig with the bone, fresh or chilled (indigenous)",2017,129
Algeria,"Meat of pig with the bone, fresh or chilled (indigenous)",2018,128
Algeria,"Meat of rabbits and hares, fresh or chilled (indigenous)",2015,7094
Algeria,"Meat of rabbits and hares, fresh or chilled (indigenous)",2016,7077
Algeria,"Meat of rabbits and hares, fresh or chilled (indigenous)",2017,7061
Algeria,"Meat of rabbits and hares, fresh or chilled (indigenous)",2018,7055
Algeria,"Meat of sheep, fresh or chilled (indigenous)",2015,3589209
Algeria,"Meat of sheep, fresh or chilled (indigenous)",2016,3798852
